old_url,new_url,status,redirect_required,notes
/2026/07/best-laptops-for-students-2026-back-to.html,/guides/best-laptops-for-students.html,confirmed,yes,Best Laptops for Students: 1:1 match
/2026/07/best-mechanical-keyboards-2026-gaming.html,/guides/best-mechanical-keyboards.html,confirmed,yes,Best Mechanical Keyboards: 1:1 match
/2026/08/best-tablets-for-students-2026-top-5.html,/guides/best-tablets-for-students.html,confirmed,yes,Best Tablets for Students: 1:1 match
/2026/08/back-to-school-checklist-2026.html,/guides/back-to-school-checklist.html,confirmed,yes,Back-to-School Checklist 2026: 1:1 match
/2026/08/best-laptop-stands-2026.html,/guides/best-laptop-stands.html,confirmed,yes,Best Laptop Stands 2026: 1:1 match
/2026/06/best-gaming-laptops-in-2026-top-5-picks.html,/guides/best-laptops-under-1000.html,confirmed,yes,Best Gaming Laptops: Merged into Best Laptops Under $1000 (gaming section)
/2026/06/apple-airpods-pro-3-review-best-airpods.html,/comparisons/sony-wf-1000xm6-vs-airpods-pro-3.html,confirmed,yes,Apple AirPods Pro 3 Review: Merged into Sony vs AirPods comparison
/2026/06/best-laptops-in-2026-top-5-picks-for.html,/guides/best-laptops-for-students.html,confirmed,yes,Best Laptops Work Gaming & Students: Consolidated into student/work laptop guide
/2026/06/should-you-upgrade-your-phone-in-2026.html,/guides/should-you-upgrade-your-phone-in-2026.html,confirmed,yes,Batch 1: Should You Upgrade Your Phone in 2026? 1:1 match
/2026/06/smart-home-devices-that-actually-work.html,/guides/smart-home-devices-that-actually-work.html,confirmed,yes,Batch 1: Smart Home Devices That Actually Work: 1:1 match
/2026/06/apple-watch-vs-samsung-vs-garmin-which.html,/comparisons/apple-watch-vs-samsung-vs-garmin.html,confirmed,yes,Batch 1: Apple Watch vs Samsung vs Garmin: 1:1 match
/2026/06/best-budget-smartphones-under-300-in.html,/guides/best-budget-smartphones-under-300.html,confirmed,yes,Batch 1: Best Budget Smartphones Under $300 in 2026: 1:1 match
/2026/05/best-smartphones-in-2026-top-5-picks.html,/guides/best-smartphones.html,confirmed,yes,Batch 1: Best Smartphones in 2026 For Every Budget: 1:1 match
/2026/05/best-cameras-in-2026-top-5-picks-for.html,/guides/best-cameras.html,confirmed,yes,Batch 2: Best Cameras in 2026: 1:1 match
/2026/05/best-smartwatches-for-health-monitoring.html,/guides/best-smartwatches-for-health-monitoring.html,confirmed,yes,Batch 2: Best Smartwatches for Health Monitoring in 2026: 1:1 match
/2026/05/best-gaming-mouse-in-2026-top-5-picks.html,/guides/best-gaming-mouse.html,confirmed,yes,Batch 2: Best Gaming Mouse in 2026 Top 5 Picks: 1:1 match
/2026/05/sony-wh-1000xm6-review-2026-best.html,/reviews/sony-wh-1000xm6-review.html,confirmed,yes,Batch 2: Sony WH-1000XM6 Review 2026: 1:1 match
/2026/05/best-wireless-earbuds-in-2026-top-5.html,/guides/best-wireless-earbuds.html,confirmed,yes,Batch 2: Best Wireless Earbuds in 2026 For Every Budget: 1:1 match
/2026/05/jbl-flip-7-review-2025-best-bluetooth.html,/reviews/jbl-flip-7-review.html,confirmed,yes,Batch 3: JBL Flip 7 Review 2026: 1:1 match
/2026/05/dell-inspiron-15-review-2025-is-it.html,/reviews/dell-inspiron-15-review.html,confirmed,yes,Batch 3: Dell Inspiron 15 Review 2026: 1:1 match
/2026/05/best-smart-home-devices-in-2026-top-5.html,/guides/best-smart-home-devices.html,confirmed,yes,Batch 3: Best Smart Home Devices in 2026: 1:1 match
/2026/05/best-smartwatches-under-200-in-2026.html,/guides/best-smartwatches-under-200.html,confirmed,yes,Batch 3: Best Smartwatches Under $200 in 2026: 1:1 match
/2026/05/best-smartphones-under-400-in-2026-top.html,/guides/best-smartphones-under-400.html,confirmed,yes,Batch 3: Best Smartphones Under $400 in 2026: 1:1 match
/2026/05/best-gaming-headsets-under-100-in-2026.html,/guides/best-gaming-headsets-under-100.html,confirmed,yes,Batch 4: Best Gaming Headsets Under $100 in 2026: 1:1 match
/2026/05/best-bluetooth-speakers-in-2026-top.html,/guides/best-bluetooth-speakers.html,confirmed,yes,Batch 4: Best Bluetooth Speakers in 2026: 1:1 match
/2026/05/best-smartwatches-in-2026-top-picks.html,/guides/best-smartwatches.html,confirmed,yes,Batch 4: Best Smartwatches in 2026 For Every Budget: 1:1 match
/2026/05/best-cameras-in-2026-top-picks-reviewed.html,/guides/best-cameras-reviewed.html,confirmed,yes,Batch 4: Best Cameras in 2026 Top Picks Reviewed: 1:1 match
/2026/05/best-gaming-accessories-under-100-in.html,/guides/best-gaming-accessories-under-100.html,confirmed,yes,Batch 4: Best Gaming Accessories Under $100: 1:1 match
/2026/05/best-smart-home-devices-in-2026-top.html,/guides/smart-home-automation-essentials.html,confirmed,yes,Batch 5: Best Smart Home Devices Automation: 1:1 match
/2026/05/best-budget-laptops-under-300-in-2026.html,/guides/best-budget-laptops-under-300.html,confirmed,yes,Batch 5: Best Budget Laptops Under $300: 1:1 match
/2026/05/best-wireless-earbuds-under-50-in-2026.html,/guides/best-wireless-earbuds-under-50.html,confirmed,yes,Batch 5: Best Wireless Earbuds Under $50: 1:1 match
/2026/05/best-budget-smartphones-under-200-in.html,/guides/best-budget-smartphones-under-200.html,confirmed,yes,Batch 5: Best Budget Smartphones Under $200: 1:1 match
/2026/06/iphone-fold-vs-galaxy-z-fold-7-which.html,/comparisons/iphone-fold-vs-galaxy-z-fold-7.html,confirmed,yes,Batch 5: iPhone Fold vs Galaxy Z Fold 7: 1:1 match
/2026/06/iphone-18-pro-vs-iphone-17-pro-worth.html,/comparisons/iphone-18-pro-vs-iphone-17-pro.html,confirmed,yes,Final Batch: iPhone 18 Pro vs iPhone 17 Pro: 1:1 match
/2026/06/samsung-galaxy-z-fold-7-review-worth.html,/reviews/samsung-galaxy-z-fold-7-review.html,confirmed,yes,Final Batch: Samsung Galaxy Z Fold 7 Review: 1:1 match
/2026/06/apple-watch-vs-pixel-watch-vs-galaxy.html,/comparisons/apple-watch-vs-pixel-watch-vs-galaxy-watch.html,confirmed,yes,Final Batch: Apple Watch vs Pixel Watch vs Galaxy Watch: 1:1 match
/2026/06/best-ai-smart-home-devices-2026-echo-vs.html,/comparisons/amazon-echo-vs-google-nest.html,confirmed,yes,Final Batch: Amazon Echo vs Google Nest: 1:1 match
/2026/06/best-robot-vacuums-2026-worth-money.html,/guides/best-robot-vacuums.html,confirmed,yes,Final Batch: Best Robot Vacuums 2026: 1:1 match
